Notes	Census Region	Census Region Code	State	State Code	Month	Month Code	Deaths	Population	Crude Rate
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Nov., 2021 "	2021/11	318	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	New Hampshire	33	"Dec., 2021 "	2021/12	366	Not Applicable	Not Applicable
Total	Census Region 1: Northeast	CENS-R1	New Hampshire	33			12718	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jan., 2018"	2018/01	187	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Feb., 2018"	2018/02	175	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Mar., 2018"	2018/03	173	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Apr., 2018"	2018/04	182	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"May, 2018"	2018/05	184	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jun., 2018"	2018/06	182	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jul., 2018"	2018/07	163	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Aug., 2018"	2018/08	188	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Sep., 2018"	2018/09	166	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Oct., 2018"	2018/10	176	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Nov., 2018"	2018/11	174	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Dec., 2018"	2018/12	196	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jan., 2019"	2019/01	207	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Feb., 2019"	2019/02	176	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Mar., 2019"	2019/03	187	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Apr., 2019"	2019/04	172	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"May, 2019"	2019/05	191	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jun., 2019"	2019/06	175	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jul., 2019"	2019/07	191	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Aug., 2019"	2019/08	186	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Sep., 2019"	2019/09	171	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Oct., 2019"	2019/10	154	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Nov., 2019"	2019/11	174	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Dec., 2019"	2019/12	216	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jan., 2020"	2020/01	181	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Feb., 2020"	2020/02	182	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Mar., 2020"	2020/03	211	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Apr., 2020"	2020/04	224	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"May, 2020"	2020/05	241	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jun., 2020"	2020/06	209	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jul., 2020"	2020/07	204	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Aug., 2020"	2020/08	200	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Sep., 2020"	2020/09	195	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Oct., 2020"	2020/10	206	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Nov., 2020"	2020/11	211	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Dec., 2020"	2020/12	254	Not Applicable	Not Applicable
	Census Region 1: Northeast	CENS-R1	Rhode Island	44	"Jan., 2021 "	2021/01	233	Not Applicable	Not Applicable
